title,content,label
"현대차, 1월 美 판매 15% 증가… 하이브리드·SUV 호조",현대차가 1월 미국 시장에서 전년 대비 15% 판매 증가를 기록했다. 하이브리드와 SUV가 실적을 견인했으며 신형 모델 출시가 예정됐다.,1
"삼성SDI, 헝가리 46파이 배터리 라인 구축 본격화",삼성SDI가 헝가리 공장에 46파이 원통형 배터리 양산 라인을 신설한다. 유럽 완성차에 공급해 전기차 성능과 원가 경쟁력 향상이 기대된다.,1
"닛산, CEO 교체 검토… 혼다와 협력 재점화 관측",닛산이 경영진 교체를 검토하며 전동화 전환 가속을 모색한다. 업계는 혼다와의 전략적 협력 논의 재개 가능성에 주목한다.,1
올해 국내 車 판매 1.9% 증가 전망… 저성장 지속,한국자동차연구원은 올해 국내 자동차 판매가 1.9% 증가에 그칠 것으로 전망했다. 하이브리드 수요가 성장의 핵심 변수로 꼽힌다.,1
"현대차, 美 120만대 생산체제 구축… 현지화 가속",조지아 전기차 공장 완공 시 미국 내 연 120만대 생산이 가능해진다. 철강부터 조립까지 현지 공급망 완결성이 강화된다.,1
"채비, 美 텍사스에 초고속 EV 충전소 100기 구축",국내 충전 사업자 채비가 텍사스에 150kW급 이상 초고속 충전소를 확대한다. 현지 파트너십을 통해 NEVI 정책 수혜가 기대된다.,1
"정부, 미래차 핵심 기술·부품 공급망에 5천억 투입",정부가 자율주행·차량용 반도체·구동모터 등 미래차 핵심 분야에 5천억 원을 투자해 국산화와 공급망 안정을 추진한다.,1
中 전기차 시장 가격 인하 경쟁 심화… 구조조정 가속,BYD 등 중국 업체가 대규모 가격 인하에 나섰다. 수요 둔화와 보조금 축소 속 출혈 경쟁이 이어지며 시장 재편이 예고된다.,1
"현대차, 자율주행 SW 경쟁력 강화 촉구 목소리",전문가들은 현대차가 SDV 전환 속도를 높이지 않으면 중국 솔루션 의존 가능성이 있다고 경고했다.,1
"한국앤컴퍼니, 한온시스템 인수… 전기차 열관리 강화",한국앤컴퍼니가 한온시스템 경영권을 인수해 전기차 열관리 분야 경쟁력을 확보한다.,1
"LG이노텍, 차량용 카메라 모듈 투자 확대… 세계 1위 도전",LG이노텍이 자율주행용 고성능 카메라 모듈 생산능력을 확대해 글로벌 1위를 목표로 한다.,1
"코오롱인더, 베트남 타이어코드 증설 완료",코오롱인더스트리가 베트남 공장 증설을 마치고 타이어코드 생산능력을 확대했다. 전기차용 고성능 타이어 수요에 대응한다.,1
AI 기반 자동차 유리 손상 진단 플랫폼 출시,스마트폰 사진 한 장으로 차량 유리 손상 정도와 수리비를 산출하는 AI 플랫폼이 출시됐다.,1
"한자연, 전동화 파워트레인 기술 세미나 개최","한국자동차연구원이 전고체 배터리, 800V 전력반도체, 통합 열관리 등을 주제로 기술 동향을 공유했다.",1
"현대차, 일본서 전기차 자체 보조금 시행",현대차가 일본 시장 공략을 위해 아이오닉5 등 구매 시 자체 보조금을 제공한다.,1
"포티투닷, 화성 자율주행 실증 인프라 구축",포티투닷이 경기도 화성에 V2X·HD맵 기반 자율주행 테스트베드를 조성한다.,1
"LG이노텍, 차량용 AP 모듈 하반기 양산",LG이노텍이 ADAS용 차량 두뇌 AP 모듈 양산을 시작한다. 고신뢰 패키징 기술을 적용했다.,1
"글로벌쿼드텍, EV 충전 통신 컨트롤러 국산화",국산 EVCC가 국내 OEM에 공급되며 차세대 충전 표준 PnC·V2G 구현 기반을 마련했다.,1
"기아 EV3, 2025 올해의 차 대상",기아 EV3가 합리적 가격과 긴 주행거리로 올해의 차 대상을 수상했다.,1
"카카오모빌리티, 바이두와 로보택시 협력",카카오모빌리티가 바이두 아폴로를 도입해 서울에서 로보택시 시범 서비스를 추진한다.,1
"정부, EV 보조금 개편·초고속 충전기 3만기 확충",보급형 전기차 중심으로 보조금을 조정하고 민간 주도의 충전망 확충에 예산을 확대한다.,1
"국토부, 현대차·포드 등 4만여 대 리콜",제작결함으로 현대차·포드 등 5개사의 차량 4만여 대가 리콜된다.,1
"KG모빌리티, 전기 SUV 토레스 EVX 출시",KG모빌리티가 500km급 주행거리의 전기 SUV 토레스 EVX를 출시했다.,1
국내 자동차 수출 541억 달러… 역대 최고,친환경차 수요 확대로 자동차 수출액이 역대 최고를 기록했다.,1
자율주행 시범운행지구 5곳 추가 지정,부산·대구·광주·판교·제주가 자율주행 시범운행지구로 추가 지정됐다.,1
"현대차그룹, 폐배터리 자원순환 생태계 구축",현대차가 폐배터리 회수·재활용 체계를 마련하고 ESS 재사용과 소재 회수에 나선다.,1
"현대모비스, 미래차 핵심 기술에 8조 투자",현대모비스가 전동화·자율주행·SW 분야에 대규모 투자를 집행한다.,1
"현대차 노사, 5년 연속 무분규 임단협 타결","기본급 인상과 성과급 지급, 미래차 인력 양성에 합의했다.",1
국내 친환경차 누적 150만 대 돌파,전기차·하이브리드·수소차 등 친환경차 등록이 150만 대를 넘어섰다.,1
"LG전자, 전기차 충전기 사업 3년 만에 철수",수요 둔화와 가격 경쟁 심화로 LG전자가 EV 충전기 사업 철수를 결정했다. 충전 인프라 업계 재편이 예상된다.,1
"美, 반도체 투자 세액공제 확대… 韓과 온도차",미국이 칩스법으로 R&D·인력까지 폭넓게 지원하는 반면 한국은 설비투자 중심 지원에 머문다는 지적이 나온다.,0
멕시코 거점 韓 기업 관세 리스크 완화… 변동성 주의,미국이 멕시코산 전면 관세를 유보했으나 대선 결과에 따른 통상 변동성은 여전하다는 평가다.,0
"중국, 미국 관세에 맞불… 핵심 광물 수출 통제",중국이 갈륨·게르마늄 등 핵심 광물 수출을 통제하고 미국산 원유에 추가 관세를 부과했다.,0
"트럼프, EU에 25% 관세 경고",트럼프 전 대통령이 EU산 전반에 고율 관세 부과 가능성을 시사해 통상 갈등 우려가 커졌다.,0
"AI 사령관, 전장 투입 시험",DARPA가 전장 데이터 통합·의사결정 보조용 AI 지휘통제 시스템 실전 시험에 들어갔다.,0
"광주, AI 집적단지로 기업 유치 가속",국가 AI 데이터센터를 중심으로 스타트업과 대기업 연구소 이전이 늘고 있다.,0
"한화·LG, UAM 협력 확대… 배터리 공장 검토",양사가 UAM 기체·배터리·센서 등 항공 모빌리티 전반에 협력을 확대한다.,0
10대 제조업 올해 설비투자 119조 전망,반도체·철강·석유화학 중심으로 설비투자가 7% 증가할 전망이다.,0
조세특례제한법 개정안 통과… 국가전략기술 투자 세액공제 확대,한국판 IRA로 불리는 법 개정으로 반도체·배터리 투자 세액공제가 상향됐다.,0
"한화·LG, 태양광-ESS 에너지 동맹",태양광과 ESS 결합 통합에너지 솔루션으로 테슬라 에너지 생태계에 도전한다.,0
"미 차기 행정부, 신재생 지원 중단 검토",취임 직후 행정명령으로 친환경 정책 축소·중단 가능성이 제기된다.,0
K-방산 총출동… 첨단 방공망 공개,DX KOREA에서 LAMD·L-SAM 등 다층 방공 체계가 공개됐다.,0
K9 자주포 누적 수출 13조 돌파,한화에어로스페이스가 자주포 수출로 글로벌 방산 기업 위상을 강화했다.,0
美 상호관세 2단계 추진론… 최대 50% 관세 폭탄,보편 10% 관세 후 흑자국에 최대 50% 추가 관세를 부과하는 로드맵이 제시됐다.,0
"정부, 오사카 엑스포 한국관 조성",2025 오사카·간사이 엑스포에 독립 한국관을 설치해 K-컬처와 기술을 선보인다.,0
"지능형 융합로봇, 산업 안전 지킴이로",AI+로봇 융합 기술로 위험 구역 순찰과 이상 감지가 가능해졌다.,0
"中 AI 가성비 제품, 국내 시장 공략 가속",중국산 로봇청소기·TV 등 AI 탑재 제품이 가성비로 국내 점유율을 확대한다.,0
"美 통상협상, 한국 우호 여론 확산… 낮은 관세 기대",한국의 대미 투자와 동맹 가치로 통상 협상에서 우호적 분위기가 조성되고 있다.,0
