id,title,content,label
1,"현대차, 신형 전기차 출시","현대자동차가 신형 전기차 모델을 발표하며 글로벌 시장 공략에 나섰다. 이번 모델은 주행거리를 기존보다 20% 늘렸으며, 첨단 운전자 보조 시스템이 탑재됐다. 업계에서는 테슬라와의 경쟁이 더욱 치열해질 것으로 보고 있다.",1
2,"기아, 전기차 판매 호조",기아는 올해 상반기 전기차 판매량이 전년 대비 35% 증가했다고 밝혔다. 특히 유럽과 북미 시장에서의 수요가 크게 늘면서 실적 상승에 기여했다. 회사 측은 향후 전기차 전용 공장을 확대할 계획이다.,1
3,"삼성SDI, 차량용 배터리 생산 확대",삼성SDI가 미국 미시간 공장의 차량용 배터리 생산 라인을 확충한다. 이는 최근 급증하는 글로벌 전기차 수요에 대응하기 위한 조치다. 업계에서는 안정적인 공급망 확보가 가능할 것으로 기대한다.,1
4,"LG이노텍, 자율주행 센서 공급",LG이노텍은 글로벌 완성차 업체와 자율주행 센서 장기 공급 계약을 체결했다. 해당 센서는 고속도로 주행 보조 기능을 구현하는 핵심 부품이다. 계약 규모는 수천억 원에 이를 것으로 전망된다.,1
5,국산 차량용 반도체 상용화,국내 기업이 독자 개발한 차량용 통신 반도체가 국내 완성차 업체에 공급되며 상용화 단계에 진입했다. 이는 외산 부품 의존도를 줄이고 국내 기술 경쟁력을 높이는 성과로 평가된다. 전문가들은 글로벌 시장 진출 가능성도 언급했다.,1
6,"현대차, 신형 전기차 출시","현대자동차가 신형 전기차 모델을 발표하며 글로벌 시장 공략에 나섰다. 이번 모델은 주행거리를 기존보다 20% 늘렸으며, 첨단 운전자 보조 시스템이 탑재됐다. 업계에서는 테슬라와의 경쟁이 더욱 치열해질 것으로 보고 있다.",1
7,"기아, 전기차 판매 호조",기아는 올해 상반기 전기차 판매량이 전년 대비 35% 증가했다고 밝혔다. 특히 유럽과 북미 시장에서의 수요가 크게 늘면서 실적 상승에 기여했다. 회사 측은 향후 전기차 전용 공장을 확대할 계획이다.,1
8,"삼성SDI, 차량용 배터리 생산 확대",삼성SDI가 미국 미시간 공장의 차량용 배터리 생산 라인을 확충한다. 이는 최근 급증하는 글로벌 전기차 수요에 대응하기 위한 조치다. 업계에서는 안정적인 공급망 확보가 가능할 것으로 기대한다.,1
9,"LG이노텍, 자율주행 센서 공급",LG이노텍은 글로벌 완성차 업체와 자율주행 센서 장기 공급 계약을 체결했다. 해당 센서는 고속도로 주행 보조 기능을 구현하는 핵심 부품이다. 계약 규모는 수천억 원에 이를 것으로 전망된다.,1
10,국산 차량용 반도체 상용화,국내 기업이 독자 개발한 차량용 통신 반도체가 국내 완성차 업체에 공급되며 상용화 단계에 진입했다. 이는 외산 부품 의존도를 줄이고 국내 기술 경쟁력을 높이는 성과로 평가된다. 전문가들은 글로벌 시장 진출 가능성도 언급했다.,1
11,"현대차, 신형 전기차 출시","현대자동차가 신형 전기차 모델을 발표하며 글로벌 시장 공략에 나섰다. 이번 모델은 주행거리를 기존보다 20% 늘렸으며, 첨단 운전자 보조 시스템이 탑재됐다. 업계에서는 테슬라와의 경쟁이 더욱 치열해질 것으로 보고 있다.",1
12,"기아, 전기차 판매 호조",기아는 올해 상반기 전기차 판매량이 전년 대비 35% 증가했다고 밝혔다. 특히 유럽과 북미 시장에서의 수요가 크게 늘면서 실적 상승에 기여했다. 회사 측은 향후 전기차 전용 공장을 확대할 계획이다.,1
13,"삼성SDI, 차량용 배터리 생산 확대",삼성SDI가 미국 미시간 공장의 차량용 배터리 생산 라인을 확충한다. 이는 최근 급증하는 글로벌 전기차 수요에 대응하기 위한 조치다. 업계에서는 안정적인 공급망 확보가 가능할 것으로 기대한다.,1
14,"LG이노텍, 자율주행 센서 공급",LG이노텍은 글로벌 완성차 업체와 자율주행 센서 장기 공급 계약을 체결했다. 해당 센서는 고속도로 주행 보조 기능을 구현하는 핵심 부품이다. 계약 규모는 수천억 원에 이를 것으로 전망된다.,1
15,국산 차량용 반도체 상용화,국내 기업이 독자 개발한 차량용 통신 반도체가 국내 완성차 업체에 공급되며 상용화 단계에 진입했다. 이는 외산 부품 의존도를 줄이고 국내 기술 경쟁력을 높이는 성과로 평가된다. 전문가들은 글로벌 시장 진출 가능성도 언급했다.,1
16,"현대차, 신형 전기차 출시","현대자동차가 신형 전기차 모델을 발표하며 글로벌 시장 공략에 나섰다. 이번 모델은 주행거리를 기존보다 20% 늘렸으며, 첨단 운전자 보조 시스템이 탑재됐다. 업계에서는 테슬라와의 경쟁이 더욱 치열해질 것으로 보고 있다.",1
17,"기아, 전기차 판매 호조",기아는 올해 상반기 전기차 판매량이 전년 대비 35% 증가했다고 밝혔다. 특히 유럽과 북미 시장에서의 수요가 크게 늘면서 실적 상승에 기여했다. 회사 측은 향후 전기차 전용 공장을 확대할 계획이다.,1
18,"삼성SDI, 차량용 배터리 생산 확대",삼성SDI가 미국 미시간 공장의 차량용 배터리 생산 라인을 확충한다. 이는 최근 급증하는 글로벌 전기차 수요에 대응하기 위한 조치다. 업계에서는 안정적인 공급망 확보가 가능할 것으로 기대한다.,1
19,"LG이노텍, 자율주행 센서 공급",LG이노텍은 글로벌 완성차 업체와 자율주행 센서 장기 공급 계약을 체결했다. 해당 센서는 고속도로 주행 보조 기능을 구현하는 핵심 부품이다. 계약 규모는 수천억 원에 이를 것으로 전망된다.,1
20,국산 차량용 반도체 상용화,국내 기업이 독자 개발한 차량용 통신 반도체가 국내 완성차 업체에 공급되며 상용화 단계에 진입했다. 이는 외산 부품 의존도를 줄이고 국내 기술 경쟁력을 높이는 성과로 평가된다. 전문가들은 글로벌 시장 진출 가능성도 언급했다.,1
21,"현대차, 신형 전기차 출시","현대자동차가 신형 전기차 모델을 발표하며 글로벌 시장 공략에 나섰다. 이번 모델은 주행거리를 기존보다 20% 늘렸으며, 첨단 운전자 보조 시스템이 탑재됐다. 업계에서는 테슬라와의 경쟁이 더욱 치열해질 것으로 보고 있다.",1
22,"기아, 전기차 판매 호조",기아는 올해 상반기 전기차 판매량이 전년 대비 35% 증가했다고 밝혔다. 특히 유럽과 북미 시장에서의 수요가 크게 늘면서 실적 상승에 기여했다. 회사 측은 향후 전기차 전용 공장을 확대할 계획이다.,1
23,"삼성SDI, 차량용 배터리 생산 확대",삼성SDI가 미국 미시간 공장의 차량용 배터리 생산 라인을 확충한다. 이는 최근 급증하는 글로벌 전기차 수요에 대응하기 위한 조치다. 업계에서는 안정적인 공급망 확보가 가능할 것으로 기대한다.,1
24,"LG이노텍, 자율주행 센서 공급",LG이노텍은 글로벌 완성차 업체와 자율주행 센서 장기 공급 계약을 체결했다. 해당 센서는 고속도로 주행 보조 기능을 구현하는 핵심 부품이다. 계약 규모는 수천억 원에 이를 것으로 전망된다.,1
25,국산 차량용 반도체 상용화,국내 기업이 독자 개발한 차량용 통신 반도체가 국내 완성차 업체에 공급되며 상용화 단계에 진입했다. 이는 외산 부품 의존도를 줄이고 국내 기술 경쟁력을 높이는 성과로 평가된다. 전문가들은 글로벌 시장 진출 가능성도 언급했다.,1
26,"현대차, 신형 전기차 출시","현대자동차가 신형 전기차 모델을 발표하며 글로벌 시장 공략에 나섰다. 이번 모델은 주행거리를 기존보다 20% 늘렸으며, 첨단 운전자 보조 시스템이 탑재됐다. 업계에서는 테슬라와의 경쟁이 더욱 치열해질 것으로 보고 있다.",1
27,"기아, 전기차 판매 호조",기아는 올해 상반기 전기차 판매량이 전년 대비 35% 증가했다고 밝혔다. 특히 유럽과 북미 시장에서의 수요가 크게 늘면서 실적 상승에 기여했다. 회사 측은 향후 전기차 전용 공장을 확대할 계획이다.,1
28,"삼성SDI, 차량용 배터리 생산 확대",삼성SDI가 미국 미시간 공장의 차량용 배터리 생산 라인을 확충한다. 이는 최근 급증하는 글로벌 전기차 수요에 대응하기 위한 조치다. 업계에서는 안정적인 공급망 확보가 가능할 것으로 기대한다.,1
29,"LG이노텍, 자율주행 센서 공급",LG이노텍은 글로벌 완성차 업체와 자율주행 센서 장기 공급 계약을 체결했다. 해당 센서는 고속도로 주행 보조 기능을 구현하는 핵심 부품이다. 계약 규모는 수천억 원에 이를 것으로 전망된다.,1
